,NAME,GEOID,INTPTLAT,INTPTLONG
0,Autauga,1001,32.532237,-86.64644
1,Baldwin,1003,30.659218,-87.74606700000001
2,Barbour,1005,31.870253,-85.40510400000001
3,Bibb,1007,33.015893,-87.12714799999999
4,Blount,1009,33.977358,-86.56644
5,Bullock,1011,32.101759,-85.717261
6,Butler,1013,31.751666999999998,-86.681969
7,Calhoun,1015,33.770516,-85.82790899999999
8,Chambers,1017,32.915504,-85.394032
9,Cherokee,1019,34.069515,-85.65424200000001
10,Chilton,1021,32.854051,-86.726607
11,Choctaw,1023,31.990954,-88.248889
12,Clarke,1025,31.685521,-87.818624
13,Clay,1027,33.2704,-85.863525
14,Cleburne,1029,33.671964,-85.516126
15,Coffee,1031,31.402258000000003,-85.989602
16,Colbert,1033,34.703112,-87.801457
17,Conecuh,1035,31.430926,-86.988722
18,Coosa,1037,32.931445000000004,-86.243482
19,Covington,1039,31.243987,-86.44872099999999
20,Crenshaw,1041,31.732826,-86.319222
21,Cullman,1043,34.131923,-86.86926700000001
22,Dale,1045,31.430653999999997,-85.609476
23,Dallas,1047,32.33354,-87.114356
24,DeKalb,1049,34.460929,-85.80399200000001
25,Elmore,1051,32.597229,-86.142735
26,Escambia,1053,31.122287,-87.16841
27,Etowah,1055,34.047641,-86.034263
28,Fayette,1057,33.716157,-87.764292
29,Franklin,1059,34.441989,-87.842814
30,Geneva,1061,31.092382,-85.821022
31,Greene,1063,32.844497,-87.9642
32,Hale,1065,32.752796000000004,-87.62306099999999
33,Henry,1067,31.516978,-85.239971
34,Houston,1069,31.158183,-85.29641099999999
35,Jackson,1071,34.764114,-85.980056
36,Jefferson,1073,33.553444,-86.896536
37,Lamar,1075,33.787085,-88.08743100000001
38,Lauderdale,1077,34.904121999999994,-87.650997
39,Lawrence,1079,34.529776,-87.321865
40,Lee,1081,32.604064,-85.353048
41,Limestone,1083,34.810239,-86.981399
42,Lowndes,1085,32.147888,-86.650586
43,Macon,1087,32.387027,-85.692887
44,Madison,1089,34.764238,-86.55108
45,Marengo,1091,32.247591,-87.79109100000001
46,Marion,1093,34.138219,-87.881551
47,Marshall,1095,34.309564,-86.321668
48,Mobile,1097,30.684571999999996,-88.196568
49,Monroe,1099,31.580332000000002,-87.383266
50,Montgomery,1101,32.202881,-86.204461
51,Morgan,1103,34.454484,-86.846402
52,Perry,1105,32.639005,-87.29382700000001
53,Pickens,1107,33.296793,-88.096863
54,Pike,1109,31.798651,-85.941604
55,Randolph,1111,33.296475,-85.46406800000001
56,Russell,1113,32.289811,-85.18698
57,St. Clair,1115,33.712963,-86.315663
58,Shelby,1117,33.263042999999996,-86.678089
59,Sumter,1119,32.597481,-88.200057
60,Talladega,1121,33.369314,-86.17593000000001
61,Tallapoosa,1123,32.863308,-85.79961800000001
62,Tuscaloosa,1125,33.29022,-87.52278299999999
63,Walker,1127,33.791558,-87.30109399999999
64,Washington,1129,31.405216999999997,-88.197564
65,Wilcox,1131,31.990082,-87.304935
66,Winston,1133,34.154565999999996,-87.365346
96,Apache,4001,35.385084,-109.490172
97,Cochise,4003,31.840128999999997,-109.77516299999999
98,Coconino,4005,35.829692,-111.773728
99,Gila,4007,33.789618,-110.81187
100,Graham,4009,32.931828,-109.87831000000001
101,Greenlee,4011,33.238872,-109.242323
102,La Paz,4012,33.72761,-114.03880600000001
103,Maricopa,4013,33.345176,-112.49893
104,Mohave,4015,35.717705,-113.74968899999999
105,Navajo,4017,35.390785,-110.321025
106,Pima,4019,32.128043,-111.783657
107,Pinal,4021,32.918521000000005,-111.36634
108,Santa Cruz,4023,31.525733000000002,-110.845228
109,Yavapai,4025,34.631071,-112.577225
110,Yuma,4027,32.773942,-113.910905
111,Arkansas,5001,34.28957,-91.376547
112,Ashley,5003,33.190835,-91.772267
113,Baxter,5005,36.280268,-92.329949
114,Benton,5007,36.337819,-94.256298
115,Boone,5009,36.304299,-93.079236
116,Bradley,5011,33.466549,-92.169156
117,Calhoun,5013,33.56046,-92.513879
118,Carroll,5015,36.33737,-93.540972
119,Chicot,5017,33.267139,-91.297158
120,Clark,5019,34.053315999999995,-93.176208
121,Clay,5021,36.367302,-90.418704
122,Cleburne,5023,35.566315,-92.05995
123,Cleveland,5025,33.893201,-92.188714
124,Columbia,5027,33.223038,-93.232843
125,Conway,5029,35.265702000000005,-92.68924799999999
126,Craighead,5031,35.827729,-90.631421
127,Crawford,5033,35.583011,-94.23621899999999
128,Crittenden,5035,35.211878999999996,-90.315332
129,Cross,5037,35.285692,-90.763984
130,Dallas,5039,33.967822999999996,-92.653999
131,Desha,5041,33.828752,-91.24410300000001
132,Drew,5043,33.587241999999996,-91.722778
133,Faulkner,5045,35.146547999999996,-92.336928
134,Franklin,5047,35.508558,-93.887665
135,Fulton,5049,36.383619,-91.819664
136,Garland,5051,34.578852000000005,-93.14693199999999
137,Grant,5053,34.285568,-92.422979
138,Greene,5055,36.120607,-90.566346
139,Hempstead,5057,33.735953,-93.664355
140,Hot Spring,5059,34.315177,-92.944147
141,Howard,5061,34.083064,-93.990931
142,Independence,5063,35.737499,-91.559942
143,Izard,5065,36.094879,-91.913625
144,Jackson,5067,35.596467,-91.22320500000001
145,Jefferson,5069,34.277239,-91.929673
146,Johnson,5071,35.573359,-93.46632199999999
147,Lafayette,5073,33.240629,-93.611514
148,Lawrence,5075,36.041098,-91.101153
149,Lee,5077,34.779505,-90.779717
150,Lincoln,5079,33.957675,-91.727626
151,Little River,5081,33.699496999999994,-94.229774
152,Logan,5083,35.218654,-93.72091
153,Lonoke,5085,34.755114,-91.894132
154,Madison,5087,36.012545,-93.724053
155,Marion,5089,36.266664,-92.678577
156,Miller,5091,33.305505,-93.90150200000001
157,Mississippi,5093,35.766944,-90.052207
158,Monroe,5095,34.679512,-91.20331
159,Montgomery,5097,34.545656,-93.664153
160,Nevada,5099,33.666699,-93.305072
161,Newton,5101,35.910742,-93.215898
162,Ouachita,5103,33.591167999999996,-92.878413
