,FIPS,county
0,01000,Alabama
1,01001,Autauga
2,01003,Baldwin
3,01005,Barbour
4,01007,Bibb
5,01009,Blount
6,01011,Bullock
7,01013,Butler
8,01015,Calhoun
9,01017,Chambers
10,01019,Cherokee
11,01021,Chilton
12,01023,Choctaw
13,01025,Clarke
14,01027,Clay
15,01029,Cleburne
16,01031,Coffee
17,01033,Colbert
18,01035,Conecuh
19,01037,Coosa
20,01039,Covington
21,01041,Crenshaw
22,01043,Cullman
23,01045,Dale
24,01047,Dallas
25,01049,DeKalb
26,01051,Elmore
27,01053,Escambia
28,01055,Etowah
29,01057,Fayette
30,01059,Franklin
31,01061,Geneva
32,01063,Greene
33,01065,Hale
34,01067,Henry
35,01069,Houston
36,01071,Jackson
37,01073,Jefferson
38,01075,Lamar
39,01077,Lauderdale
40,01079,Lawrence
41,01081,Lee
42,01083,Limestone
43,01085,Lowndes
44,01087,Macon
45,01089,Madison
46,01091,Marengo
47,01093,Marion
48,01095,Marshall
49,01097,Mobile
50,01099,Monroe
51,01101,Montgomery
52,01103,Morgan
53,01105,Perry
54,01107,Pickens
55,01109,Pike
56,01111,Randolph
57,01113,Russell
58,01115,St. Clair
59,01117,Shelby
60,01119,Sumter
61,01121,Talladega
62,01123,Tallapoosa
63,01125,Tuscaloosa
64,01127,Walker
65,01129,Washington
66,01131,Wilcox
67,01133,Winston
68,02000,Alaska
69,02013,Aleutians East Borough
70,02016,Aleutians West Census Area
71,02020,Anchorage Borough
72,02050,Bethel Census Area
73,02060,Bristol Bay Borough
74,02068,Denali Borough
75,02070,Dillingham Census Area
76,02090,Fairbanks North Star Borough
77,02100,Haines Borough
78,02110,Juneau Borough
79,02122,Kenai Peninsula Borough
80,02130,Ketchikan Gateway Borough
81,02150,Kodiak Island Borough
82,02164,Lake and Peninsula Borough
83,02170,Matanuska-Susitna Borough
84,02180,Nome Census Area
85,02185,North Slope Borough
86,02188,Northwest Arctic Borough
87,02201,Prince of Wales-Outer Ketchikan Census Area
88,02220,Sitka Borough
89,02231,Skagway-Yakutat-Angoon Census Area
90,02232,Skagway-Hoonah-Angoon Census Area
91,02240,Southeast Fairbanks Census Area
92,02261,Valdez-Cordova Census Area
93,02270,Wade Hampton Census Area
94,02280,Wrangell-Petersburg Census Area
95,02282,Yakutat Borough
96,02290,Yukon-Koyukuk Census Area
97,04000,Arizona
98,04001,Apache
99,04003,Cochise
100,04005,Coconino
101,04007,Gila
102,04009,Graham
103,04011,Greenlee
104,04012,La Paz
105,04013,Maricopa
106,04015,Mohave
107,04017,Navajo
108,04019,Pima
109,04021,Pinal
110,04023,Santa Cruz
111,04025,Yavapai
112,04027,Yuma
113,05000,Arkansas
114,05001,Arkansas
115,05003,Ashley
116,05005,Baxter
117,05007,Benton
118,05009,Boone
119,05011,Bradley
120,05013,Calhoun
121,05015,Carroll
122,05017,Chicot
123,05019,Clark
124,05021,Clay
125,05023,Cleburne
126,05025,Cleveland
127,05027,Columbia
128,05029,Conway
129,05031,Craighead
130,05033,Crawford
131,05035,Crittenden
132,05037,Cross
133,05039,Dallas
134,05041,Desha
135,05043,Drew
136,05045,Faulkner
137,05047,Franklin
138,05049,Fulton
139,05051,Garland
140,05053,Grant
141,05055,Greene
142,05057,Hempstead
143,05059,Hot Spring
144,05061,Howard
145,05063,Independence
146,05065,Izard
147,05067,Jackson
148,05069,Jefferson
149,05071,Johnson
150,05073,Lafayette
151,05075,Lawrence
152,05077,Lee
153,05079,Lincoln
154,05081,Little River
155,05083,Logan
156,05085,Lonoke
157,05087,Madison
158,05089,Marion
159,05091,Miller
160,05093,Mississippi
161,05095,Monroe
162,05097,Montgomery
163,05099,Nevada
164,05101,Newton
165,05103,Ouachita
166,05105,Perry
167,05107,Phillips
168,05109,Pike
169,05111,Poinsett
170,05113,Polk
171,05115,Pope
172,05117,Prairie
173,05119,Pulaski
174,05121,Randolph
175,05123,St. Francis
176,05125,Saline
177,05127,Scott
178,05129,Searcy
179,05131,Sebastian
180,05133,Sevier
181,05135,Sharp
182,05137,Stone
183,05139,Union
184,05141,Van Buren
185,05143,Washington
186,05145,White
187,05147,Woodruff
188,05149,Yell
189,06000,California
190,06001,Alameda
191,06003,Alpine
192,06005,Amador
193,06007,Butte
194,06009,Calaveras
195,06011,Colusa
196,06013,Contra Costa
197,06015,Del Norte
198,06017,El Dorado
199,06019,Fresno
200,06021,Glenn
201,06023,Humboldt
202,06025,Imperial
203,06027,Inyo
204,06029,Kern
205,06031,Kings
206,06033,Lake
207,06035,Lassen
208,06037,Los Angeles
209,06039,Madera
210,06041,Marin
211,06043,Mariposa
