,fips,values
0,1001,8612118.230362464
1,1003,4246884.327567699
2,1005,-13369679.010270635
3,1007,0.0
4,1009,0.0
5,1011,0.0
6,1013,21103685.790743206
7,1015,0.0
8,1017,0.0
9,1019,0.0
10,1021,0.0
11,1023,0.0
12,1025,0.0
13,1027,0.0
14,1029,0.0
15,1031,0.0
16,1033,0.0
17,1035,0.0
18,1037,0.0
19,1039,0.0
20,1041,0.0
21,1043,0.0
22,1045,0.0
23,1047,0.0
24,1049,0.0
25,1051,0.0
26,1053,0.0
27,1055,27966472.67131664
28,1057,0.0
29,1059,0.0
30,1061,0.0
31,1063,0.0
32,1065,0.0
33,1067,0.0
34,1069,0.0
35,1071,0.0
36,1073,0.0
37,1075,0.0
38,1077,0.0
39,1079,7968606.347965146
40,1081,0.0
41,1083,0.0
42,1085,0.0
43,1087,0.0
44,1089,0.0
45,1091,32055704.759292383
46,1093,0.0
47,1095,-6636843.558467827
48,1097,0.0
49,1099,8575945.88954238
50,1101,0.0
51,1103,0.0
52,1105,3170025.135062617
53,1107,0.0
54,1109,28553167.993327674
55,1111,0.0
56,1113,943134.0059629816
57,1115,2629376.660353348
58,1117,1882286.2514771179
59,1119,-18237505.425113104
60,1121,7769503.703327043
61,1123,11020360.697191153
62,1125,9198897.603286888
63,1127,15458131.658074653
64,1129,505344.4301977817
65,1131,18442727.86482368
66,1133,0.0
67,4001,23975795.044305727
68,4003,-9079570.10814229
69,4005,-544699.4250389653
70,4007,0.0
71,4009,11094935.903028876
72,4011,0.0
73,4012,1127094.3748333664
74,4013,-952020.5624345914
75,4015,0.0
76,4017,3368866.970453
77,4019,0.0
78,4021,0.0
79,4023,0.0
80,4025,8737596.610875694
81,4027,9072609.114921166
82,5001,3432776.8719173903
83,5003,-16092253.134422634
84,5005,0.0
85,5007,0.0
86,5009,0.0
87,5011,0.0
88,5013,0.0
89,5015,-6507215.414369714
90,5017,-8809596.052258534
91,5019,10237141.768214462
92,5021,10477148.899905099
93,5023,2796780.421109601
94,5025,13527909.985498972
95,5027,-1202968.4153456732
96,5029,10007915.661413787
97,5031,9717389.715007389
98,5033,18251315.328140374
99,5035,14681816.953039424
100,5037,15429588.280753907
101,5039,16064719.368170533
102,5041,65889742.28547056
103,5043,15179420.329758272
104,5045,0.0
105,5047,59180236.41494198
106,5049,161491454.8554795
107,5051,0.0
108,5053,7076655.845944614
109,5055,-16756818.004225794
110,5057,50393800.42913959
111,5059,0.0
112,5061,-17818008.531948574
113,5063,0.0
114,5065,-7531294.202316915
115,5067,-5603120.281226337
116,5069,0.0
117,5071,1535982.583655171
118,5073,58741229.0277309
119,5075,-4894857.819558509
120,5077,2386143.80740418
121,5079,-4327434.808749378
122,5081,-8776353.052308572
123,5083,45148806.22715104
124,5085,0.0
125,5087,61356389.49867381
126,5089,-3960641.6064534257
127,5091,-6347223.905625927
128,5093,-6210918.251707186
129,5095,3800123.4314356176
130,5097,12167410.562033802
131,5099,-159985088.9160637
132,5101,11072428.472663527
133,5103,-9996034.984747445
134,5105,42306781.60692568
135,5107,1161874.8705847692
136,5109,-7950276.829217101
137,5111,40254540.64021889
138,5113,0.0
139,5115,-13531230.373259583
140,5117,0.0
141,5119,-887462.3660301857
142,5121,0.0
143,5123,-20446825.453550536
144,5125,-1318878.694929388
145,5127,-10765959.120882565
146,5129,0.0
147,5131,-32792566.812881023
148,5133,0.0
149,5135,-9053750.44177494
150,5137,45285171.62669056
151,5139,0.0
152,5141,-6710940.106015184
153,5143,0.0
154,5145,-8024278.966774367
155,5147,-44393.93098102704
156,5149,-12437065.898015413
157,6001,0.0
158,6003,-22099652.702039927
159,6005,0.0
160,6007,3907879.6636903672
161,6009,0.0
162,6011,0.0
163,6013,109947942.64167
164,6015,26744400.766819976
165,6017,214069613.90332878
166,6019,-21944765.668356996
167,6021,-184972185.34593898
168,6023,3156040.0102076833
169,6025,-30381249.03603408
170,6027,-4033194.2550889426
171,6029,-4607703.161276396
172,6031,-26962998.528415665
173,6033,2153396.0613642894
174,6035,73877857.30763146
175,6037,-10240111.714963762
176,6039,65509980.127669364
177,6041,-28534009.759020492
178,6043,1534152.1691651952
179,6045,15102460.954590378
180,6047,-19490384.458896328
181,6049,7731546.255817715
182,6051,-84419.3689928472
183,6053,0.0
184,6055,1705813.2579346474
185,6057,-729875.0634962439
186,6059,0.0
187,6061,-10641567.951335216
188,6063,-17296259.148645196
189,6065,1523060.7715325386
190,6067,3936730.4838796738
191,6069,6325155.287574539
192,6071,0.0
193,6073,-10311421.227807082
194,6075,5913058.987211304
195,6077,0.0
196,6079,0.0
197,6081,-2948788.457257615
198,6083,0.0
199,6085,9148932.341462249
200,6087,-4050318.974576051
201,6089,55637391.49294697
202,6091,0.0
203,6093,14376535.589388141
204,6095,-25465029.36642508
205,6097,0.0
206,6099,28144551.701958034
207,6101,-4379097.4663875
208,6103,-3343958.9772961014
209,6105,463864.8960721989
210,6107,7105348.966736879
211,6109,0.0
212,6111,-7509513.834077435
213,6113,0.0
214,6115,-9917289.239913862
215,8001,0.0
216,8003,0.0
217,8005,0.0
218,8007,-19000225.522888817
219,8009,88280404.04852238
220,8011,0.0
221,8013,-11246716.854032693
222,8014,14216182.087023022
223,8015,16401794.898405084
224,8017,6267911.397864512
225,8019,-8457517.1158246
226,8021,5573360.882739022
227,8023,-5126795.0888549555
228,8025,-15155261.485055286
229,8027,14826677.930316081
230,8029,0.0
231,8031,-7160933.057335562
232,8033,12336658.48466915
233,8035,-3126597.1869063224
234,8037,2118467.412417704
235,8039,5929569.774839625
236,8041,-6084636.657779483
237,8043,-4365666.093304397
238,8045,589450.2304248406
239,8047,-3821960.5276788417
240,8049,0.0
241,8051,-8638733.34962213
242,8053,-10700782.713454101
243,8055,-3196280.6922471575
244,8057,-916545.4569672041
245,8059,2911418.3639691006
246,8061,0.0
247,8063,18882248.128365744
248,8065,0.0
249,8067,0.0
250,8069,0.0
251,8071,20126894.631998096
252,8073,8649486.137005359
253,8075,0.0
254,8077,0.0
255,8079,6490060.337748974
